slug,g:name_en,g:name_he,p:name_en,p:name_he,name_en,name_he
human_services:money:loans:personal_loans,Money,עזרה כספית,Loans,הלוואות,Personal Loans,הלוואות אישיות
human_services:money:tax_preparation,Human Services,מענים חברתיים,Money,עזרה כספית,Tax Preparation,הגשת מיסים
human_services:care,Human Services,מענים חברתיים,Care,רווחה
human_services:care:adoption_foster_care,Human Services,מענים חברתיים,Care,רווחה,Adoption & Foster Care,אימוץ ואומנה
human_services:care:adoption_foster_care:adoption_foster_placement,Care,רווחה,Adoption & Foster Care,אימוץ ואומנה,Adoption & Foster Placement,השמת ילדים לאימוץ ואומנה
human_services:care:adoption_foster_care:adoption_planning,Care,רווחה,Adoption & Foster Care,אימוץ ואומנה,Adoption Planning,תכנון אימוץ
human_services:care:adoption_foster_care:adoption_counseling,Care,רווחה,Adoption & Foster Care,אימוץ ואומנה,Adoption Counseling,ייעוץ לאימוץ 
human_services:care:adoption_foster_care:post_adoption_support,Care,רווחה,Adoption & Foster Care,אימוץ ואומנה,Post-Adoption Support,תמיכה במשפחות מאמצות
human_services:care:community_support_services,Human Services,מענים חברתיים,Care,רווחה,Community Support Services,שירותי תמיכה קהילתיים 
human_services:care:community_support_services:computer_or_internet_access,Care,רווחה,Community Support Services,שירותי תמיכה קהילתיים ,Computer or Internet Access,מחשוב או גישה לאינטרנט 
human_services:care:community_support_services:exercise_fitness,Care,רווחה,Community Support Services,שירותי תמיכה קהילתיים ,Exercise & Fitness,ספורט וכושר
human_services:care:community_support_services:recreation,Care,רווחה,Community Support Services,שירותי תמיכה קהילתיים ,Recreation,תחביבים
human_services:care:community_support_services:weather_relief,Care,רווחה,Community Support Services,שירותי תמיכה קהילתיים ,Weather Relief,עזרה באסון מזג אוויר
human_services:care:daytime_care,Human Services,מענים חברתיים,Care,רווחה,Daytime Care,מעון יום לילדים
human_services:care:daytime_care:adult_daycare,Care,רווחה,Daytime Care,מעון יום לילדים,Adult Daycare,פעילויות יום למבוגרים
human_services:care:daytime_care:childcare,Care,רווחה,Daytime Care,מעון יום לילדים,Childcare,טיפול בילדים
human_services:care:daytime_care:childcare:help_find_childcare,Daytime Care,מעון יום לילדים,Childcare,טיפול בילדים,Help Find Childcare,עזרה במציאת טיפול בילדים
human_services:care:daytime_care:childcare:help_pay_for_childcare,Daytime Care,מעון יום לילדים,Childcare,טיפול בילדים,Help Pay for Childcare,עזרה כספית בטיפול בילדים
human_services:care:daytime_care:childcare:childcare,Daytime Care,מעון יום לילדים,Childcare,טיפול בילדים,Childcare,טיפול בילדים
human_services:care:daytime_care:day_camp,Care,רווחה,Daytime Care,מעון יום לילדים,Day Camp,קייטנה
human_services:care:daytime_care:early_childhood_intervention,Care,רווחה,Daytime Care,מעון יום לילדים,Early Childhood Intervention,התערבות חינוכית לגיל הרך
human_services:care:daytime_care:preschool,Care,רווחה,Daytime Care,מעון יום לילדים,Preschool,גן 
human_services:care:daytime_care:relief_for_caregivers,Care,רווחה,Daytime Care,מעון יום לילדים,Relief for Caregivers,הקלה למטפלים
human_services:care:daytime_care:afterschool_care,Care,רווחה,Daytime Care,מעון יום לילדים,Afterschool Care,צהרון
human_services:care:daytime_care:recreation,Care,רווחה,Daytime Care,מעון יום לילדים,Recreation,חוגים 
human_services:care:end_of_life_care,Human Services,מענים חברתיים,Care,רווחה,End-of-Life Care,טיפול בחולים.ות סופנים.ות. 
human_services:care:end_of_life_care:bereavement,Care,רווחה,End-of-Life Care,טיפול בחולים.ות סופנים.ות. ,Bereavement,אבל
human_services:care:end_of_life_care:burial_funeral_help,Care,רווחה,End-of-Life Care,טיפול בחולים.ות סופנים.ות. ,Burial & Funeral Help,שירותי קבורה
human_services:care:end_of_life_care:hospice,Care,רווחה,End-of-Life Care,טיפול בחולים.ות סופנים.ות. ,Hospice,הוספיס
human_services:care:end_of_life_care:pain_management,Care,רווחה,End-of-Life Care,טיפול בחולים.ות סופנים.ות. ,Pain Management,ניהול כאב
human_services:care:navigating_the_system,Human Services,מענים חברתיים,Care,רווחה,Navigating the System,הבנת זכויות ממשלתיות
human_services:care:navigating_the_system:help_fill_out_forms,Care,רווחה,Navigating the System,הבנת זכויות ממשלתיות,Help Fill out Forms,עזרה במילוי טפסים
human_services:care:navigating_the_system:help_find_housing,Care,רווחה,Navigating the System,הבנת זכויות ממשלתיות,Help Find Housing,עזרה במציאת דיור
human_services:care:navigating_the_system:case_management,Care,רווחה,Navigating the System,הבנת זכויות ממשלתיות,Case Management,ניהול תיק 
human_services:care:navigating_the_system:help_find_childcare,Care,רווחה,Navigating the System,הבנת זכויות ממשלתיות,Help Find Childcare,עזרה במציאת מסגרות לילדים.ות
human_services:care:navigating_the_system:help_find_school,Care,רווחה,Navigating the System,הבנת זכויות ממשלתיות,Help Find School,עזרה במציאת בית ספר
human_services:care:navigating_the_system:help_find_work,Care,רווחה,Navigating the System,הבנת זכויות ממשלתיות,Help Find Work,עזרה בחיפוש עבודה
human_services:care:physical_safety,Human Services,מענים חברתיים,Care,רווחה,Physical Safety,בטחון פיזי
human_services:care:physical_safety:disaster_response,Care,רווחה,Physical Safety,בטחון פיזי,Disaster Response,תגובה לאסון
human_services:care:physical_safety:emergency_food,Care,רווחה,Physical Safety,בטחון פיזי,Emergency Food,אספקת מזון בחירום
human_services:care:physical_safety:temporary_shelter,Care,רווחה,Physical Safety,בטחון פיזי,Temporary Shelter,מקלט זמני
human_services:care:physical_safety:temporary_shelter:weather_relief,Physical Safety,בטחון פיזי,Temporary Shelter,מקלט זמני,Weather Relief,עזרה באסון מזג אוויר
human_services:care:physical_safety:help_find_missing_persons,Care,רווחה,Physical Safety,בטחון פיזי,Help Find Missing Persons,מציאת נעדרים.ות
human_services:care:physical_safety:immediate_safety,Care,רווחה,Physical Safety,בטחון פיזי,Immediate Safety,בטחון מיידי
human_services:care:physical_safety:immediate_safety:help_escape_violence,Physical Safety,בטחון פיזי,Immediate Safety,בטחון מיידי,Help Escape Violence,עזרה למפלט מאלימות 
human_services:care:physical_safety:immediate_safety:safe_housing,Physical Safety,בטחון פיזי,Immediate Safety,בטחון מיידי,Safe Housing,דירות חירום ומקלטים
human_services:care:physical_safety:safety_education,Care,רווחה,Physical Safety,בטחון פיזי,Safety Education,חינוך לבטחון
human_services:care:residential_care,Human Services,מענים חברתיים,Care,רווחה,Residential Care,מסגרות טיפוליות
human_services:care:residential_care:assisted_living,Care,רווחה,Residential Care,מסגרות טיפוליות,Assisted Living,דיור מוגן
human_services:care:residential_care:nursing_home,Care,רווחה,Residential Care,מסגרות טיפוליות,Nursing Home,בית אבות
human_services:care:support_network,Human Services,מענים חברתיים,Care,רווחה,Support Network,רשת תמיכה
human_services:care:support_network:counseling,Care,רווחה,Support Network,רשת תמיכה,Counseling,טיפול פסיכולוגי
human_services:care:support_network:help_hotlines,Care,רווחה,Support Network,רשת תמיכה,Help Hotlines,מוקדים טלפוניים
human_services:care:support_network:home_visiting,Care,רווחה,Support Network,רשת תמיכה,Home Visiting,ביקורי בית
human_services:care:support_network:in_home_support,Care,רווחה,Support Network,רשת תמיכה,In-Home Support,סיוע בבית
human_services:care:support_network:mentoring,Care,רווחה,Support Network,רשת תמיכה,Mentoring,מנטורינג
human_services:care:support_network:one_on_one_support,Care,רווחה,Support Network,רשת תמיכה,One-on-One Support,סיוע אחד-על-אחד
human_services:care:support_network:spiritual_support,Care,רווחה,Support Network,רשת תמיכה,Spiritual Support,תמיכה רוחנית
human_services:care:support_network:support_groups,Care,רווחה,Support Network,רשת תמיכה,Support Groups,קבוצות תמיכה
human_services:care:support_network:support_groups:12_step,Support Network,רשת תמיכה,Support Groups,קבוצות תמיכה,12-Step,
human_services:care:support_network:support_groups:bereavement,Support Network,רשת תמיכה,Support Groups,קבוצות תמיכה,Bereavement,אבל 
human_services:care:support_network:support_groups:parenting_education,Support Network,רשת תמיכה,Support Groups,קבוצות תמיכה,Parenting Education,קבוצות הורים
human_services:care:support_network:virtual_support,Care,רווחה,Support Network,רשת תמיכה,Virtual Support,תמיכה וירטואלית 
human_services:education,Human Services,מענים חברתיים,Education,חינוך 
human_services:education:help_find_school,Human Services,מענים חברתיים,Education,חינוך ,Help Find School,עזרה במציאת בית ספר
human_services:education:help_pay_for_school,Human Services,מענים חברתיים,Education,חינוך ,Help Pay for School,עזרה בתשלומי בית ספר
human_services:education:help_pay_for_school:books,Education,חינוך ,Help Pay for School,עזרה בתשלומי בית ספר,Books,ספרים 
human_services:education:help_pay_for_school:clothes_for_school,Education,חינוך ,Help Pay for School,עזרה בתשלומי בית ספר,Clothes for School,תלבושת אחידה
human_services:education:help_pay_for_school:financial_aid_loans,Education,חינוך ,Help Pay for School,עזרה בתשלומי בית ספר,Financial Aid & Loans,עזרה כספית והלוואות 
human_services:education:help_pay_for_school:transportation_for_school,Education,חינוך ,Help Pay for School,עזרה בתשלומי בית ספר,Transportation for School,הסעות לבית הספר
human_services:education:help_pay_for_school:supplies_for_school,Education,חינוך ,Help Pay for School,עזרה בתשלומי בית ספר,Supplies for School,כלי כתיבה
human_services:education:more_education,Human Services,מענים חברתיים,Education,חינוך ,More Education,חינוך נוסף והעשרה
human_services:education:more_education:alternative_education,Education,חינוך ,More Education,חינוך נוסף והעשרה,Alternative Education,חינוך אלטרנטיבי 
human_services:education:more_education:civic_engagement,Education,חינוך ,More Education,חינוך נוסף והעשרה,Civic Engagement,מעורבות חברתית
human_services:education:more_education:college_readiness,Education,חינוך ,More Education,חינוך נוסף והעשרה,College Readiness,הכנה לאוניברסיטה 
human_services:education:more_education:disaster_preparedness_response,Education,חינוך ,More Education,חינוך נוסף והעשרה,Disaster Preparedness & Response,הכנת לאסונות 
human_services:education:more_education:english_as_a_second_language_esl,Education,חינוך ,More Education,חינוך נוסף והעשרה,English as a Second Language (ESL),עברית כשפה שנייה
human_services:education:more_education:environmental_education,Education,חינוך ,More Education,חינוך נוסף והעשרה,Environmental Education,חינוך סביבתי
human_services:education:more_education:financial_education,Education,חינוך ,More Education,חינוך נוסף והעשרה,Financial Education,חינוך פיננסי 
human_services:education:more_education:financial_education:credit_counseling,More Education,חינוך נוסף והעשרה,Financial Education,חינוך פיננסי ,Credit Counseling,ייעוץ אשראי 
human_services:education:more_education:financial_education:homebuyer_education,More Education,חינוך נוסף והעשרה,Financial Education,חינוך פיננסי ,Homebuyer Education,"חינוך נדל""ן "
human_services:education:more_education:foreign_languages,Education,חינוך ,More Education,חינוך נוסף והעשרה,Foreign Languages,שפות זרות 
human_services:education:more_education:ged_high_school_equivalency,Education,חינוך ,More Education,חינוך נוסף והעשרה,GED/High-School Equivalency,מבחני בגרות
human_services:education:more_education:health_education,Education,חינוך ,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי
human_services:education:more_education:health_education:disease_management,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Disease Management,ניהול מחלות 
human_services:education:more_education:health_education:family_planning,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Family Planning,תכנון משפחה
human_services:education:more_education:health_education:nutrition_education,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Nutrition Education,חינוך תזונתי 
human_services:education:more_education:health_education:parenting_education,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Parenting Education,הדרכת הורים
human_services:education:more_education:health_education:safety_education,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Safety Education,חינוך לזהירות 
human_services:education:more_education:health_education:sex_education,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Sex Education,חינוך מיני
human_services:education:more_education:health_education:understand_disability,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Understand Disability,קבלת מוגבלויות
human_services:education:more_education:health_education:understand_mental_health,More Education,חינוך נוסף והעשרה,Health Education,חינוך בריאותי,Understand Mental Health,חינוך על בריאות הנפש
human_services:education:more_education:special_education,Education,חינוך ,More Education,חינוך נוסף והעשרה,Special Education,חינוך מיוחד
human_services:education:more_education:tutoring,Education,חינוך ,More Education,חינוך נוסף והעשרה,Tutoring,הדרכה פרטית 
human_services:education:more_education:youth_development,Education,חינוך ,More Education,חינוך נוסף והעשרה,Youth Development,טיפוח נוער
human_services:education:preschool,Human Services,מענים חברתיים,Education,חינוך ,Preschool,גני ילדים 
human_services:education:screening_exams,Human Services,מענים חברתיים,Education,חינוך ,Screening & Exams,מבחנים והערכה 
human_services:education:screening_exams:ged_high_school_equivalency,Education,חינוך ,Screening & Exams,מבחנים והערכה ,GED/High-School Equivalency,מבחני בגרות 
human_services:education:screening_exams:english_as_a_second_language_esl,Education,חינוך ,Screening & Exams,מבחנים והערכה ,English as a Second Language (ESL),עברית כשפה שניה 
human_services:education:skills_training,Human Services,מענים חברתיים,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות
human_services:education:skills_training:basic_literacy,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות,Basic Literacy,אוריינות בסיסית 
human_services:education:skills_training:computer_class,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות,Computer Class,שיעורי מחשב 
human_services:education:skills_training:daily_life_skills,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות,Daily Life Skills,כישורי חיים 
human_services:education:skills_training:interview_training,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות,Interview Training,הדרכת ראיונות
human_services:education:skills_training:resume_development,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות,Resume Development,פיתוח קורות חיים 
human_services:education:skills_training:skills_assessment,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות,Skills Assessment,הערכת כישורים
human_services:education:skills_training:specialized_training,Education,חינוך ,Skills & Training,פיתוח מיומנויות והכשרות,Specialized Training,הדרכות מיוחדות 
human_services:work,Human Services,מענים חברתיים,Work,עבודה
human_services:work:help_find_work,Human Services,מענים חברתיים,Work,עבודה,Help Find Work,סיוע במציאת עבודה
human_services:work:help_pay_for_work_expenses,Human Services,מענים חברתיים,Work,עבודה,Help Pay for Work Expenses,עזרה בתשלום הוצאות עבודה
human_services:work:help_pay_for_work_expenses:clothes_for_work,Work,עבודה,Help Pay for Work Expenses,עזרה בתשלום הוצאות עבודה,Clothes for Work,בגדי עבודה
human_services:work:help_pay_for_work_expenses:retirement_benefits,Work,עבודה,Help Pay for Work Expenses,עזרה בתשלום הוצאות עבודה,Retirement Benefits,הטבות פרישה / פנסיה 
human_services:work:help_pay_for_work_expenses:supplies_for_work,Work,עבודה,Help Pay for Work Expenses,עזרה בתשלום הוצאות עבודה,Supplies for Work,ציוד לעבודה
human_services:work:help_pay_for_work_expenses:unemployment_benefits,Work,עבודה,Help Pay for Work Expenses,עזרה בתשלום הוצאות עבודה,Unemployment Benefits,דמי אבטלה
human_services:work:skills_training,Human Services,מענים חברתיים,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות
human_services:work:skills_training:basic_literacy,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות,Basic Literacy,אוריינות בסיסית
human_services:work:skills_training:computer_class,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות,Computer Class,שיעורי מחשב
human_services:work:skills_training:ged_high_school_equivalency,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות,GED/High-School Equivalency,מבחני בגרות
human_services:work:skills_training:interview_training,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות,Interview Training,הכנה לראיונות
human_services:work:skills_training:resume_development,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות,Resume Development,פיתוח קורות חיים 
human_services:work:skills_training:skills_assessment,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות,Skills Assessment,הערכת כישורים
human_services:work:skills_training:specialized_training,Work,עבודה,Skills & Training,פיתוח מיומנויות והכשרות,Specialized Training,הדרכות מיוחדות
human_services:work:supported_employment,Human Services,מענים חברתיים,Work,עבודה,Supported Employment,תמיכה בעובדים
human_services:work:workplace_rights,Human Services,מענים חברתיים,Work,עבודה,Workplace Rights,זכויות עובדים 
human_services:legal,Human Services,מענים חברתיים,Legal,משפטי
human_services:legal:advocacy_legal_aid,Human Services,מענים חברתיים,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית
human_services:legal:advocacy_legal_aid:adoption_foster_care,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית,Adoption & Foster Care,אימוץ ואומנה 
human_services:legal:advocacy_legal_aid:adoption_foster_care:adoption_planning,Advocacy & Legal Aid,תמיכה משפטית,Adoption & Foster Care,אימוץ ואומנה ,Adoption Planning,תכנון אימוץ
human_services:legal:advocacy_legal_aid:adoption_foster_care:adoption_counseling,Advocacy & Legal Aid,תמיכה משפטית,Adoption & Foster Care,אימוץ ואומנה ,Adoption Counseling,ייעוץ לאימוץ
human_services:legal:advocacy_legal_aid:adoption_foster_care:post_adoption_support,Advocacy & Legal Aid,תמיכה משפטית,Adoption & Foster Care,אימוץ ואומנה ,Post-Adoption Support,תמיכה במשפחות מאמצות
human_services:legal:advocacy_legal_aid:adoption_foster_care:adoption_foster_care,Advocacy & Legal Aid,תמיכה משפטית,Adoption & Foster Care,אימוץ ואומנה ,Adoption & Foster Care,אימוץ ואומנה 
human_services:legal:advocacy_legal_aid:citizenship_immigration,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית,Citizenship & Immigration,אזרחות והגירה
human_services:legal:advocacy_legal_aid:discrimination_civil_rights,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית,Discrimination & Civil Rights,אפליה וזכויות אזרחיות 
human_services:legal:advocacy_legal_aid:guardianship,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית,Guardianship,אפוטרופסות
human_services:legal:advocacy_legal_aid:identification_recovery,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית,Identification Recovery,שחזור זיהוי
human_services:legal:advocacy_legal_aid:understand_government_programs,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית,Understand Government Programs,הבנת זכויות תושבים
human_services:legal:advocacy_legal_aid:workplace_rights,Legal,משפטי,Advocacy & Legal Aid,תמיכה משפטית,Workplace Rights,זכויות עובדים
human_services:legal:mediation,Human Services,מענים חברתיים,Legal,משפטי,Mediation,גישור
human_services:legal:notary,Human Services,מענים חברתיים,Legal,משפטי,Notary,נוטוריון
human_services:legal:representation,Human Services,מענים חברתיים,Legal,משפטי,Representation,ייצוג משפטי
human_services:legal:translation_interpretation,Human Services,מענים חברתיים,Legal,משפטי,Translation & Interpretation,תרגום
human_services:emergency,Human Services,מענים חברתיים,Emergency,חירום
human_services:emergency:disaster_response,Human Services,מענים חברתיים,Emergency,חירום,Disaster Response,תגובה לאסונות 
human_services:emergency:emergency_payments,Human Services,מענים חברתיים,Emergency,חירום,Emergency Payments,תשלומי חירום
human_services:emergency:emergency_payments:help_pay_for_food,Emergency,חירום,Emergency Payments,תשלומי חירום,Help Pay for Food,סיוע כספי לרכישת מזון
human_services:emergency:emergency_payments:help_pay_for_healthcare,Emergency,חירום,Emergency Payments,תשלומי חירום,Help Pay for Healthcare, עזרה בתשלומים על שירותי בריאות 
human_services:emergency:emergency_payments:help_pay_for_housing,Emergency,חירום,Emergency Payments,תשלומי חירום,Help Pay for Housing,עזרה בתשלום על דיור
human_services:emergency:emergency_payments:help_pay_for_school,Emergency,חירום,Emergency Payments,תשלומי חירום,Help Pay for School,עזרה תשלומי בית ספר
human_services:emergency:emergency_payments:help_pay_for_utilities,Emergency,חירום,Emergency Payments,תשלומי חירום,Help Pay for Utilities,עזרה בתשלומי חשבונות שוטפים
human_services:emergency:emergency_food,Human Services,מענים חברתיים,Emergency,חירום,Emergency Food,מזון בחירום 
human_services:emergency:emergency_shelter,Human Services,מענים חברתיים,Emergency,חירום,Emergency Shelter,מקלט חירום 
human_services:emergency:help_find_missing_persons,Human Services,מענים חברתיים,Emergency,חירום,Help Find Missing Persons,עזרה במציאת נערדים.ות 
human_services:emergency:immediate_safety,Human Services,מענים חברתיים,Emergency,חירום,Immediate Safety,בטחון מיידי 
human_services:emergency:immediate_safety:help_escape_violence,Emergency,חירום,Immediate Safety,בטחון מיידי ,Help Escape Violence,סיוע בבריחה מאלימות 
human_services:emergency:immediate_safety:safe_housing,Emergency,חירום,Immediate Safety,בטחון מיידי ,Safe Housing,דירות חירום ומקלטים
human_services:emergency:psychiatric_emergency_services,Human Services,מענים חברתיים,Emergency,חירום,Psychiatric Emergency Services,שירותי חירום פסיכאטריים 
